STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3987;20200829;   10;   8.0;   3.0;    3;   0.0;   0;    5.733;   0;   7.2;  12.9;  992.95;   18.4;   63.04;   24.4;   13.7;   12.2;eor
       3987;20200830;   10;  10.7;   2.2;    3;  20.1;   6;    4.917;   0;   6.9;  15.0;  996.27;   17.3;   78.04;   23.9;   12.7;    9.9;eor
       3987;20200831;   10;  10.0;   2.7;    3;   1.6;   6;    6.000;   0;   6.3;  15.0; 1003.14;   16.4;   81.88;   22.7;   12.1;   10.1;eor
       3987;20200901;   10;   8.7;   2.6;    3;   0.0;   0;    5.583;   0;   6.2;  12.1; 1005.90;   14.6;   74.83;   19.4;   10.3;    7.7;eor
       3987;20200902;   10;   8.1;   3.1;    3;   2.8;   6;    0.550;   0;   7.5;  13.5; 1004.97;   14.0;   84.67;   18.2;   10.6;    8.3;eor
       3987;20200903;   10;  12.3;   3.8;    3;   7.9;   6;    8.533;   0;   5.9;  13.2; 1006.81;   16.9;   71.75;   23.2;   11.2;    9.5;eor
       3987;20200904;   10;  10.8;   4.0;    3;   0.2;   6;    3.283;   0;   7.5;  17.6; 1007.38;   17.8;   86.79;   23.0;   14.8;   14.9;eor
       3987;20200905;   10;   9.0;   3.6;    3;   0.5;   6;    0.017;   0;   7.4;  15.4; 1004.55;   15.5;   86.83;   17.8;   12.6;   10.3;eor
       3987;20200906;   10;  11.1;   3.8;    3;   0.0;   6;    9.717;   0;   4.0;  11.4; 1006.49;   14.4;   71.75;   19.7;   10.3;    7.9;eor
       3987;20200907;   10;   9.9;   3.5;    3;   0.0;   0;    7.800;   0;   3.8;  11.4; 1010.97;   14.5;   70.79;   20.7;   10.9;    8.5;eor
       3987;20200908;   10;  13.5;   5.1;    3;   0.0;   0;    4.450;   0;   6.4;  12.9; 1012.13;   16.7;   69.21;   23.2;   10.3;    7.6;eor
       3987;20200909;   10;  12.7;   4.2;    3;   1.3;   6;    3.900;   0;   6.3;  16.6; 1007.86;   19.5;   74.96;   26.1;   13.8;   11.0;eor
       3987;20200910;   10;   9.1;   3.4;    3;   0.0;   0;    7.817;   0;   3.9;  11.5; 1008.87;   14.7;   70.79;   19.9;   10.8;    7.2;eor
       3987;20200911;   10;   6.8;   2.8;    3;   0.0;   0;   11.067;   0;   3.8;  10.8; 1006.19;   16.1;   61.58;   22.7;    9.9;    6.5;eor
       3987;20200912;   10;  11.6;   4.2;    3;   0.0;   0;   11.133;   0;   3.3;  12.6; 1006.54;   18.4;   62.29;   27.0;   11.6;    7.9;eor
       3987;20200913;   10;   8.1;   3.7;    3;   0.0;   0;    9.800;   0;   5.5;  13.0; 1013.45;   17.6;   67.29;   24.7;   10.9;    8.4;eor
       3987;20200914;   10;   7.6;   2.7;    3;   0.0;   0;   11.267;   0;   4.3;  14.7; 1014.71;   21.6;   59.00;   30.3;   14.0;   10.3;eor
       3987;20200915;   10;   8.5;   4.0;    3;   0.0;   0;   11.633;   0;   5.5;  16.3; 1009.12;   23.2;   60.92;   31.7;   15.3;   13.3;eor
       3987;20200916;   10;  10.8;   3.6;    3;   0.0;   0;    8.900;   0;   3.4;  16.1; 1005.67;   21.8;   64.29;   30.0;   15.2;   13.2;eor
       3987;20200917;   10;   9.1;   3.6;    3;   0.0;   0;   11.217;   0;   1.9;   9.6; 1015.55;   14.2;   61.54;   19.5;    7.4;    4.0;eor
       3987;20200918;   10;   8.2;   3.2;    3;   0.0;   0;   12.133;   0;   4.3;   7.9; 1017.04;   12.5;   58.63;   20.7;    6.5;    2.9;eor
       3987;20200919;   10;   8.7;   4.5;    3;   0.0;   0;   10.583;   0;   6.0;   8.2; 1011.27;   13.9;   54.83;   22.0;    6.9;    2.5;eor
       3987;20200920;   10;   8.5;   4.4;    3;   0.0;   0;   11.550;   0;   3.6;   9.3; 1007.68;   15.3;   56.42;   23.9;    9.1;    5.0;eor
       3987;20200921;   10;   6.5;   3.8;    3;   0.0;   0;   11.417;   0;   0.0;  10.7; 1005.50;   16.6;   58.92;   25.3;    9.3;    5.2;eor
       3987;20200922;   10;   7.9;   3.2;    3;   0.0;   0;   10.967;   0;   0.4;  12.2;  998.79;   18.7;   59.21;   26.7;   11.0;    7.7;eor
       3987;20200923;   10;   7.2;   3.2;    3;   0.0;   0;    8.767;   0;   3.5;  13.0;  993.41;   19.7;   58.71;   26.8;   13.8;   11.4;eor
